# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/data/GRCh38.p13_reference_files/gencode.v43.primary_assembly.annotation.gtf" "-o" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/feature_counts/s2_count_data.txt" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control1/control1Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control2/control2Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control3/control3Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control4/control4Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control5/control5Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control6/control6Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control7/control7Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control8/control8Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control9/control9Aligned.sortedByCoord.out.bam" "-F" "GTF" "--largestOverlap" "-p" "--countReadPairs" "-s" "2" "-B" "-C" "-T" "64" "-t" "gene" "-g" "gene_name" "--Rpath" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/feature_counts/" "--tmpDir" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/scripts/temp" "--verbose" 
Geneid	Chr	Start	End	Strand	Length	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control1/control1Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control2/control2Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control3/control3Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control4/control4Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control5/control5Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control6/control6Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control7/control7Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control8/control8Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control9/control9Aligned.sortedByCoord.out.bam
ENSG00000249259	chr4	115922015	116297160	-	375146	12	2	5	2	3	8	3	0	8
EIF3KP3	chr4	116043407	116044045	-	639	0	0	0	0	0	0	0	0	0
TTC39CP1	chr4	116193997	116194751	-	755	0	0	0	0	0	0	0	0	0
MIR1973	chr4	116299725	116299768	+	44	0	0	0	0	0	0	0	0	0
TRMT112P1	chr4	116378919	116379269	+	351	0	0	0	0	0	0	0	0	0
CUL4AP1	chr4	116425983	116430892	-	4910	0	0	0	0	0	0	0	0	0
ENSG00000250791	chr4	116489364	116515619	-	26256	0	0	0	0	0	0	0	0	0
ACTN4P1	chr4	116598161	116599611	+	1451	0	0	1	0	0	0	0	1	0
ENSG00000287845	chr4	116714844	116719669	-	4826	0	0	0	0	0	0	0	0	0
ENSG00000287520	chr4	116720123	116739945	-	19823	0	0	0	0	0	0	0	0	0
ENSG00000287290	chr4	116751473	116952699	-	201227	0	4	0	2	0	0	1	0	0
ENSG00000286637	chr4	116754453	116921792	+	167340	0	0	0	0	0	0	0	0	0
RNU6-119P	chr4	116839279	116839385	+	107	0	0	0	0	0	0	0	0	0
ENSG00000271053	chr4	116858093	116858973	+	881	0	0	0	0	0	0	0	0	0
TRAM1L1	chr4	117083554	117085576	-	2023	43	48	32	30	50	17	48	39	63
ENSG00000223605	chr4	117249924	117250188	+	265	0	0	0	0	0	0	0	0	0
LINC02262	chr4	117314597	117360655	-	46059	0	1	0	0	0	0	0	0	0
LINC02263	chr4	117360596	117412712	+	52117	0	0	0	0	0	0	0	0	0
LINC01378	chr4	117406166	117691188	+	285023	0	0	0	0	0	0	0	0	0
RPSAP35	chr4	117413462	117414279	+	818	0	0	0	0	0	0	0	0	0
NT5C3AP1	chr4	117574512	117576174	-	1663	2	1	1	0	0	1	1	2	0
ENSG00000286269	chr4	117648832	117657312	-	8481	0	0	0	0	0	0	0	0	0
ENSG00000288921	chr4	117783097	117813961	-	30865	0	0	0	0	0	0	0	0	0
LINC02264	chr4	117834145	117869960	+	35816	0	0	0	0	0	0	0	0	0
NDST3	chr4	118033618	118258634	+	225017	14	15	29	7	24	22	22	30	13
FKBP4P1	chr4	118193405	118194751	-	1347	0	0	0	0	0	0	0	0	0
SNHG8	chr4	118278703	118285316	+	6614	818	826	843	834	845	886	851	811	798
SNORA24	chr4	118279190	118279320	+	131	0	0	0	0	0	0	0	0	0
PRSS12	chr4	118280038	118353003	-	72966	130	134	140	179	162	163	270	152	182
NDUFS5P5	chr4	118400514	118400834	-	321	0	0	0	0	0	0	0	0	0
ENSG00000273716	chr4	118460224	118460301	-	78	5	1	0	5	0	3	1	0	0
CEP170P1	chr4	118467590	118554100	+	86511	3	9	12	4	3	5	7	7	9
ENSG00000291201	chr4	118591719	118633729	+	42011	329	376	396	381	272	269	277	299	324
ENSG00000260404	chr4	118595912	118596049	+	138	0	0	0	0	0	0	0	0	0
RNU6-1054P	chr4	118606450	118606553	+	104	0	0	0	0	0	0	0	0	0
CICP16	chr4	118635970	118638782	-	2813	0	0	0	0	0	0	0	0	0
SEPTIN14P4	chr4	118640673	118640858	+	186	3	1	2	3	6	1	1	3	5
METTL14-DT	chr4	118664087	118685343	-	21257	3	3	0	3	6	4	2	3	3
METTL14	chr4	118685392	118715433	+	30042	1292	1206	1269	1283	1295	1269	1374	1286	1306
SEC24D	chr4	118722823	118838683	-	115861	4673	4489	4625	4399	4637	4467	4584	4304	4302
SYNPO2	chr4	118850688	119061247	+	210560	199	177	231	238	190	205	232	203	203
ENSG00000249002	chr4	119006032	119006401	+	370	0	0	0	0	0	0	0	0	0
MYOZ2	chr4	119135832	119187789	+	51958	3	0	0	1	0	0	0	0	0
MRPL42P1	chr4	119192773	119212644	-	19872	8	8	6	4	12	3	1	6	5
USP53	chr4	119212587	119295518	+	82932	445	470	572	498	480	527	554	387	496
C4orf3	chr4	119296419	119304445	-	8027	1795	1701	2104	2080	1802	1805	2225	1731	1878
FABP2	chr4	119317250	119322138	-	4889	0	0	0	0	0	0	0	0	0
KLHL2P1	chr4	119334329	119378233	+	43905	3	6	6	0	3	1	0	1	4
RNU4-33P	chr4	119367562	119367646	+	85	0	0	0	0	0	0	0	0	0
ENSG00000249244	chr4	119391831	119395335	-	3505	0	0	0	0	0	0	0	0	0
ENSG00000291202	chr4	119405523	119454655	-	49133	209	222	243	197	214	147	209	198	212
ENSG00000260091	chr4	119409333	119410233	+	901	0	0	0	0	0	0	0	0	0
RNU6-1217P	chr4	119434005	119434108	-	104	0	0	0	0	0	0	0	0	0
GTF2IP12	chr4	119440561	119450157	-	9597	0	0	0	0	0	0	0	0	0
ENSG00000291203	chr4	119454762	119552025	+	97264	304	315	363	287	290	307	347	272	336
ENSG00000250950	chr4	119456350	119457277	+	928	0	0	0	0	0	0	0	0	0
SEPTIN7P14	chr4	119457968	119461864	+	3897	0	0	0	0	0	0	0	0	0
PDE5A	chr4	119494397	119628804	-	134408	1132	1077	1264	1079	1145	991	1312	1055	1149
ENSG00000221245	chr4	119569699	119569825	+	127	0	0	0	0	0	0	0	0	0
ENSG00000286241	chr4	119686538	119693563	+	7026	0	0	0	0	0	0	0	0	0
LINC01365	chr4	119799089	119804554	-	5466	0	0	0	0	0	0	1	0	0
ENSG00000250183	chr4	119937557	119963898	+	26342	0	0	0	0	0	0	0	0	0
LINC02502	chr4	119939540	119964293	+	24754	0	1	0	0	0	0	0	0	1
ENSG00000253825	chr4	120035033	120040615	-	5583	0	0	3	1	0	0	0	0	0
MAD2L1	chr4	120055623	120066858	-	11236	5019	4601	4924	4837	5165	4750	5064	4771	5001
MAD2L1-DT	chr4	120066904	120564789	+	497886	25	16	39	29	42	35	19	38	28
LTV1P1	chr4	120091046	120092282	-	1237	0	0	0	0	0	0	0	0	0
SAR1AP3	chr4	120342056	120342647	+	592	0	0	0	0	0	0	0	0	0
ENSG00000249409	chr4	120639090	120650796	+	11707	0	0	0	0	0	0	0	0	0
PRDM5	chr4	120684919	120922870	-	237952	780	825	902	735	753	722	768	726	774
RNU6-550P	chr4	120810469	120810569	+	101	0	0	0	0	0	0	0	0	0
SETP12	chr4	120895494	120897083	-	1590	0	0	0	0	0	0	0	0	0
NDNF	chr4	121035613	121073021	-	37409	35	32	44	36	12	45	52	33	52
RN7SKP137	chr4	121061172	121061478	-	307	0	0	0	0	0	0	0	0	0
NDNF-AS1	chr4	121071429	121080476	+	9048	1	5	3	0	0	0	2	0	0
ENSG00000271302	chr4	121118299	121118734	+	436	0	0	0	0	0	0	0	0	0
TNIP3	chr4	121131408	121227466	-	96059	0	0	2	3	0	3	2	1	0
RNU6-948P	chr4	121192797	121192903	-	107	0	0	0	0	0	0	0	0	0
QRFPR	chr4	121328642	121381059	-	52418	30	29	22	32	35	35	23	40	33
ENSG00000213480	chr4	121369433	121370345	-	913	0	0	0	0	0	0	0	0	0
TUBB4BP5	chr4	121451541	121451967	+	427	0	0	0	0	0	0	0	0	0
ANXA5	chr4	121667946	121696995	-	29050	9741	8332	8906	8107	8128	10298	8723	8821	7547
SMIM43	chr4	121758881	121765427	-	6547	7	12	6	5	8	12	5	10	2
PP12613	chr4	121764585	121766814	+	2230	0	0	0	0	0	0	0	0	0
EXOSC9	chr4	121801318	121817021	+	15704	2200	2088	2240	2142	2255	2092	2207	2014	2140
CCNA2	chr4	121816444	121823883	-	7440	6995	6700	6811	6833	7034	6703	7193	6645	6693
BBS7	chr4	121824329	121870487	-	46159	622	599	653	529	601	590	651	657	629
BBS7-DT	chr4	121870583	121872848	+	2266	0	0	0	0	0	0	0	0	0
TRPC3	chr4	121874481	121952060	-	77580	23	17	11	6	10	24	9	12	8
ENSG00000289342	chr4	121950963	121990023	+	39061	0	0	1	0	0	1	0	0	0
ENSG00000237868	chr4	122077840	122078318	-	479	0	0	0	1	0	0	0	0	0
RN7SL335P	chr4	122087508	122087811	-	304	0	0	0	0	0	0	0	0	0
BLTP1	chr4	122152331	122364167	+	211837	1086	1134	1079	1006	1103	1107	1140	1033	1186
ADAD1	chr4	122378966	122429802	+	50837	0	0	0	0	0	0	0	0	0
IL2	chr4	122451470	122456725	-	5256	0	0	0	0	0	0	0	0	0
IL21	chr4	122610108	122621066	-	10959	0	0	0	0	0	0	0	0	0
IL21-AS1	chr4	122618983	122689156	+	70174	0	0	0	0	0	0	0	0	1
ENSG00000287692	chr4	122700445	122708788	+	8344	0	0	0	0	0	0	0	0	0
CETN4P	chr4	122728532	122732482	-	3951	3	4	6	7	2	7	1	3	1
BBS12	chr4	122732702	122744942	+	12241	137	152	122	142	156	129	158	138	155
ENSG00000244083	chr4	122815771	122816117	-	347	0	0	0	0	0	0	0	0	0
FGF2	chr4	122826682	122898236	+	71555	4061	3566	3733	3370	4116	3749	3359	3664	3561
ENSG00000240775	chr4	122840343	122840690	+	348	0	0	0	0	0	0	0	0	0
ENSG00000273007	chr4	122879778	122885805	-	6028	2	0	1	2	1	2	2	2	0
NUDT6	chr4	122888697	122922968	-	34272	113	142	122	100	109	138	137	131	147
SPATA5	chr4	122923070	123319433	+	396364	703	659	646	724	729	677	696	705	690
ENSG00000250322	chr4	123259949	123260118	-	170	0	0	0	0	0	0	0	0	0
ENSG00000287951	chr4	123349250	123351221	-	1972	0	0	0	0	0	0	0	0	0
SPRY1	chr4	123396795	123403760	+	6966	1130	1137	1202	1146	980	1181	1122	1009	926
ENSG00000249125	chr4	123490242	123522106	+	31865	6	0	0	1	0	2	0	1	0
LINC02435	chr4	123505279	123527525	+	22247	0	0	0	2	0	0	0	0	0
LINC01091	chr4	123539026	123962704	+	423679	17	13	32	23	33	35	28	37	26
ENSG00000226655	chr4	123744923	123745673	-	751	0	0	0	0	0	0	0	0	0
RPL21P50	chr4	123745750	123746226	-	477	0	0	0	0	0	0	0	0	0
ENSG00000250458	chr4	123861860	123862015	-	156	0	0	0	0	0	0	0	0	0
ENSG00000286700	chr4	124025295	124028268	-	2974	0	0	0	0	0	0	0	0	0
PPIAP76	chr4	124062462	124062990	+	529	0	0	0	0	0	0	0	0	0
ENSG00000249837	chr4	124149377	124252044	-	102668	0	1	0	0	0	1	1	1	0
ENSG00000286734	chr4	124324973	124339047	-	14075	0	0	0	0	0	0	0	0	0
TUBAP10	chr4	124435750	124437120	-	1371	0	0	0	0	0	0	0	0	0
TECRP2	chr4	124462863	124463790	-	928	0	0	0	0	0	0	0	0	0
LINC02516	chr4	124499940	124558445	-	58506	0	0	0	0	0	0	0	0	0
ANKRD50	chr4	124664048	124712732	-	48685	1914	1586	1464	1523	1655	1785	1673	1692	1587
FAT4	chr4	125314918	125492932	+	178015	203	163	116	114	107	153	86	139	85
MIR2054	chr4	125507259	125507307	+	49	0	0	0	0	0	0	0	0	0
ENSG00000250149	chr4	125676718	126017357	+	340640	0	0	1	0	0	0	0	0	0
NUP58P1	chr4	125681177	125683668	-	2492	0	0	0	0	0	0	0	0	0
TMEM248P1	chr4	125723267	125724217	-	951	0	0	0	0	0	0	0	0	0
LINC02379	chr4	126064128	126073370	+	9243	0	0	0	0	0	0	0	0	0
H3P15	chr4	126106139	126106923	-	785	0	0	0	0	0	0	0	0	0
ENSG00000286251	chr4	126431694	126735523	-	303830	0	0	1	2	0	0	0	0	0
RBM48P1	chr4	126563509	126564776	+	1268	0	0	0	0	0	0	0	0	0
ENSG00000289869	chr4	126776969	126778414	-	1446	0	0	0	0	0	0	0	0	0
ENSG00000250945	chr4	127043430	127077762	-	34333	1	0	0	1	0	0	1	0	0
ENSG00000248491	chr4	127094410	127470569	-	376160	3	0	5	0	0	0	0	0	0
ENSG00000287101	chr4	127228519	127352379	-	123861	0	0	0	0	0	0	0	0	0
ENSG00000248209	chr4	127493505	127493828	+	324	0	0	0	0	0	0	0	0	0
ENSG00000249795	chr4	127498327	127498807	+	481	0	0	0	0	0	0	0	0	0
ENSG00000287021	chr4	127532828	127623803	-	90976	5	3	1	1	3	1	2	3	0
INTU	chr4	127623271	127726737	+	103467	746	640	687	681	722	633	657	657	632
SLC25A31	chr4	127730400	127774292	+	43893	0	2	0	0	0	1	0	0	0
HSPA4L	chr4	127781821	127840733	+	58913	180	190	197	203	185	183	231	182	170
ENSG00000282855	chr4	127809170	127809477	+	308	0	0	0	0	0	0	0	0	0
ENSG00000244021	chr4	127812720	127813200	-	481	24	44	39	30	27	35	39	18	35
ENSG00000261668	chr4	127840198	127844040	-	3843	0	0	0	0	0	0	1	0	0
PLK4	chr4	127880893	127899224	+	18332	1548	1467	1422	1344	1421	1463	1473	1429	1427
RNU6-583P	chr4	127891991	127892082	+	92	0	0	0	0	0	0	0	0	0
MFSD8	chr4	127917799	127966034	-	48236	389	375	330	336	370	379	351	356	301
ABHD18	chr4	127965306	128039953	+	74648	727	598	656	585	664	646	679	632	640
LARP1B	chr4	128061286	128222931	+	161646	1085	1011	1143	1137	1107	1173	1080	1015	1112
ENSG00000241651	chr4	128069014	128069612	-	599	0	0	0	0	0	0	0	0	0
FOSL1P1	chr4	128155389	128156204	+	816	0	0	0	0	0	0	0	0	0
PGRMC2	chr4	128269237	128288829	-	19593	3367	3374	3681	3451	3473	3556	3615	3330	3303
LINC02615	chr4	128292751	128519398	+	226648	22	45	40	57	52	37	47	43	47
ENSG00000273077	chr4	128552590	128553416	-	827	0	0	0	0	0	0	0	0	0
ENSG00000248187	chr4	128567972	128570531	-	2560	9	7	5	2	5	5	10	9	7
ENSG00000248802	chr4	128582999	128601407	-	18409	0	0	0	0	0	0	0	0	0
ENSG00000289243	chr4	128653873	128661363	+	7491	0	0	0	0	0	0	3	0	0
JADRR	chr4	128768228	128769948	+	1721	0	0	0	0	0	0	0	0	0
JADE1	chr4	128809700	128875224	+	65525	8175	8306	8961	8605	8610	8191	8458	7666	7649
SCLT1	chr4	128864921	129093600	-	228680	551	544	554	531	608	563	549	514	538
ENSG00000275647	chr4	128944628	128944956	+	329	0	0	0	0	0	0	0	0	0
ENSG00000281369	chr4	129041766	129041877	+	112	0	0	0	0	0	0	0	0	0
C4orf33	chr4	129093317	129116640	+	23324	72	59	89	56	70	75	67	76	48
CDRT15P11	chr4	129133106	129134098	+	993	0	0	0	0	0	0	0	0	0
ZSWIM5P3	chr4	129135926	129139740	-	3815	0	0	0	0	0	0	0	0	0
ENSG00000251195	chr4	129177386	129179094	+	1709	0	0	0	0	0	0	0	0	0
ENSG00000250193	chr4	129299175	129305022	-	5848	0	0	0	0	0	0	0	0	0
ENSG00000287748	chr4	129362911	129377504	-	14594	0	0	0	0	0	0	0	0	0
LINC02466	chr4	129612330	129771527	-	159198	0	3	0	0	0	1	0	1	5
LINC02465	chr4	129771596	129975329	+	203734	1	1	0	0	2	0	0	0	1
EEF1GP8	chr4	129903010	129904163	+	1154	0	0	0	0	0	0	0	0	0
LINC02479	chr4	130376229	130432227	+	55999	1	0	0	0	0	0	0	0	0
PGBD4P4	chr4	130494673	130495285	+	613	0	0	0	0	0	0	0	0	0
GAPDHP56	chr4	130503357	130504344	-	988	0	0	0	0	0	0	0	0	0
ENSG00000280059	chr4	130808507	130811933	+	3427	0	0	0	0	0	0	3	0	0
ENSG00000250503	chr4	130881027	130885641	-	4615	0	0	0	0	0	0	0	0	0
ENSG00000287924	chr4	130963925	130967575	+	3651	0	0	0	0	0	0	0	0	0
ENSG00000250213	chr4	131112748	131113255	+	508	0	0	0	0	0	0	0	0	0
RNU6-224P	chr4	131273242	131273348	+	107	0	0	0	0	0	0	0	0	0
LINC02377	chr4	131379717	131591825	+	212109	0	0	0	0	0	0	1	0	0
ENSG00000248715	chr4	131540281	131540489	+	209	0	0	0	0	0	0	0	0	0
RN7SL205P	chr4	131720260	131720543	-	284	0	0	0	0	0	0	0	0	0
SNHG27	chr4	131727587	131791492	+	63906	0	0	0	0	0	0	1	0	0
ENSG00000249416	chr4	131768233	131768578	+	346	0	0	0	0	0	0	0	0	0
RPL7AP28	chr4	131857343	131857913	-	571	0	0	0	0	0	0	0	0	0
ENSG00000251555	chr4	131930031	131975952	-	45922	0	0	0	0	2	0	0	0	0
ENSG00000251598	chr4	131978485	132345621	-	367137	2	0	0	0	0	0	0	0	0
ENSG00000249463	chr4	132027175	132028434	-	1260	0	0	0	0	0	0	0	0	0
ELL2P2	chr4	132367786	132368479	-	694	0	0	0	0	0	0	0	0	0
ENSG00000248369	chr4	132435802	132447235	-	11434	0	0	0	0	0	0	0	0	0
LINC01256	chr4	132591064	132678503	+	87440	0	0	0	0	0	0	0	0	0
AARS1P1	chr4	132592084	132592536	+	453	0	0	0	0	0	0	0	0	0
ENSG00000251488	chr4	132836772	132981677	-	144906	0	0	0	0	0	0	0	2	0
ENSG00000249513	chr4	132985510	132988677	-	3168	0	0	0	0	0	0	0	0	0
PCDH10-DT	chr4	133075311	133149147	-	73837	5	7	7	5	10	3	6	5	4
R3HDM2P1	chr4	133124104	133126063	+	1960	0	0	0	0	0	0	0	0	0
PCDH10	chr4	133149294	133208606	+	59313	205	171	153	115	100	215	233	188	104
ENSG00000286467	chr4	133261022	133263115	-	2094	0	1	4	0	0	1	0	0	0
ENSG00000250191	chr4	133574566	133575208	-	643	0	0	0	0	0	0	0	0	0
ENSG00000251388	chr4	133871246	134010690	-	139445	0	0	1	3	0	4	0	0	2
ENSG00000251199	chr4	134026665	134327977	-	301313	3	5	6	7	4	3	3	0	0
ENSG00000286253	chr4	134057468	134085506	+	28039	0	0	0	2	0	0	0	0	0
PABPC4L	chr4	134196333	134201789	-	5457	0	0	0	0	0	0	0	0	0
PES1P1	chr4	134327063	134328798	+	1736	0	0	0	0	0	0	0	0	0
LINC02462	chr4	134383467	134545648	+	162182	0	0	1	0	0	0	0	0	1
ENSG00000249000	chr4	134759399	134817289	+	57891	0	0	0	0	0	0	0	0	0
ENSG00000249847	chr4	134932889	134934131	-	1243	0	0	0	0	0	0	0	0	0
ENSG00000251228	chr4	134944275	134944523	+	249	0	0	0	0	0	0	0	0	0
ENSG00000241411	chr4	134952259	134952889	-	631	0	0	1	0	0	0	0	0	0
EEF1A1P35	chr4	135045464	135046850	+	1387	1	6	1	0	0	5	1	1	1
ENSG00000248434	chr4	135067233	135097658	+	30426	0	0	0	0	0	0	0	6	0
LINC02485	chr4	135112905	135123779	-	10875	0	2	0	0	0	0	0	0	0
KRT18P54	chr4	135371177	135371924	-	748	0	0	0	0	0	0	0	0	0
TARS2P1	chr4	135565117	135567157	-	2041	0	0	0	0	0	0	0	0	0
ENSG00000250865	chr4	135792384	135805904	-	13521	0	0	0	0	0	0	0	0	0
LINC00613	chr4	135866983	135913680	-	46698	0	0	0	0	0	0	0	2	0
RNU1-89P	chr4	135995929	135996092	-	164	0	0	0	0	0	0	0	0	0
ENSG00000251492	chr4	136004509	136004902	-	394	0	0	0	0	0	0	0	0	0
ENSG00000261166	chr4	136097797	136099240	-	1444	2	2	1	0	0	0	1	4	2
ENSG00000251567	chr4	136118675	136395471	-	276797	9	5	2	4	9	5	7	10	3
ENSG00000250665	chr4	136125909	136138874	+	12966	0	0	0	0	0	0	0	0	0
TERF1P3	chr4	136355110	136356336	-	1227	0	0	0	0	0	0	0	0	0
ENSG00000279749	chr4	136553236	136553739	+	504	0	0	0	0	0	0	0	0	0
LINC02511	chr4	136795919	137212799	-	416881	7	1	1	4	8	14	6	7	12
LINC02510	chr4	137193756	137198367	+	4612	0	0	0	0	0	0	0	0	0
SERF1AP1	chr4	137301001	137301187	-	187	0	0	0	0	0	0	0	0	0
STMN1P2	chr4	137425426	137425864	-	439	0	0	0	0	0	0	0	0	0
RPS23P2	chr4	137448087	137448501	+	415	0	0	0	0	0	0	0	0	0
PCDH18	chr4	137518918	137532494	-	13577	1304	994	877	875	938	1143	918	1131	961
LINC02172	chr4	137545731	137603430	+	57700	3	0	0	0	0	0	0	0	0
ENSG00000280352	chr4	137601899	137602433	-	535	0	0	0	0	0	0	0	0	0
ENSG00000250126	chr4	137645265	137655174	-	9910	0	0	0	0	0	0	0	0	0
ENSG00000250777	chr4	137690477	137734977	-	44501	0	0	0	0	0	0	0	0	0
ENSG00000287441	chr4	137751029	137755300	+	4272	0	0	0	0	0	0	0	0	0
ENSG00000250034	chr4	137807706	137816402	+	8697	0	0	0	0	0	0	0	0	0
ENSG00000287144	chr4	137943022	138051288	+	108267	0	2	1	0	0	0	0	0	0
LINC00616	chr4	137978547	138131182	-	152636	0	2	0	1	0	1	0	0	0
SLC7A11-AS1	chr4	138057464	138178177	+	120714	12	15	9	4	11	15	9	16	10
SLC7A11	chr4	138164097	138242349	-	78253	2007	1779	1517	1650	1822	2126	1680	2026	1955
ENSG00000249091	chr4	138277115	138281784	-	4670	0	0	0	0	0	0	0	0	0
LINC00498	chr4	138298856	138312658	-	13803	0	0	0	0	0	0	0	0	0
LINC00499	chr4	138309613	138663403	+	353791	1	0	1	0	1	0	2	1	3
LINC00500	chr4	138425523	138436869	+	11347	0	0	0	0	0	0	0	0	0
ENSG00000248305	chr4	138481255	138482096	-	842	0	0	0	0	0	0	0	0	0
ENSG00000248795	chr4	138560704	138561941	+	1238	0	0	0	0	0	0	0	0	0
ENSG00000250977	chr4	138664725	138665569	-	845	0	0	0	0	0	0	0	0	0
ENSG00000250501	chr4	138773537	138803567	+	30031	0	2	3	1	0	0	0	0	0
ENSG00000250195	chr4	138819954	139012646	-	192693	0	0	0	1	0	0	0	2	0
ENSG00000250577	chr4	138923930	138924232	-	303	0	0	0	0	0	0	0	0	0
NOCT	chr4	139015781	139045939	+	30159	423	482	494	552	560	600	574	489	551
ELF2	chr4	139028112	139177218	-	149107	1006	933	980	1063	1011	1048	1015	958	932
RNU6-531P	chr4	139055475	139055578	+	104	0	2	0	0	0	0	0	2	0
RN7SL382P	chr4	139100377	139100658	+	282	0	0	0	0	0	0	0	0	0
PPP1R14BP3	chr4	139114930	139115374	-	445	0	0	0	0	0	0	0	0	0
ENSG00000288785	chr4	139177456	139245432	+	67977	8	3	6	9	4	6	1	7	13
RN7SL311P	chr4	139185441	139185746	+	306	0	0	0	0	0	0	0	0	0
RNU6-506P	chr4	139231026	139231119	-	94	0	0	0	0	0	0	0	0	0
RNU6-1074P	chr4	139256657	139256760	-	104	0	0	0	0	0	0	0	0	0
MGARP	chr4	139266165	139280225	-	14061	2	3	5	10	3	4	9	1	5
NDUFC1	chr4	139266880	139302551	-	35672	1268	1207	1151	1180	1189	1209	1251	1248	1100
NAA15	chr4	139301446	139420033	+	118588	7475	7138	7796	7423	7787	7656	7972	7389	7587
RNU6-1214P	chr4	139318378	139318486	+	109	0	0	0	0	0	0	0	0	0
RAB33B-AS1	chr4	139411927	139454034	-	42108	93	94	129	118	88	95	98	89	127
ENSG00000248863	chr4	139426299	139430884	-	4586	0	0	0	0	0	0	0	0	0
ENSG00000239005	chr4	139436368	139436494	-	127	0	0	0	0	0	0	0	0	0
RAB33B	chr4	139453232	139476609	+	23378	375	394	420	370	462	373	389	416	431
SETD7	chr4	139495941	139606699	-	110759	186	221	215	177	160	181	169	221	202
FTH1P24	chr4	139546266	139546727	+	462	0	0	0	0	0	0	0	0	0
ENSG00000272717	chr4	139556799	139557643	+	845	0	0	0	1	6	1	3	3	0
ENSG00000286896	chr4	139559283	139618133	+	58851	0	2	1	1	4	0	0	0	0
QKILA	chr4	139564298	139623257	-	58960	0	0	0	0	0	0	0	1	0
MGST2	chr4	139665768	139740745	+	74978	129	135	115	167	139	146	160	169	131
RN7SKP237	chr4	139685127	139685427	-	301	0	0	0	0	0	0	0	0	0
H3P16	chr4	139698144	139698554	-	411	25	33	19	26	31	35	36	29	28
MAML3	chr4	139716753	140154184	-	437432	199	236	249	210	169	278	229	212	220
ENSG00000286320	chr4	139763053	139770391	+	7339	0	0	0	0	0	0	0	0	0
RN7SKP253	chr4	139794125	139794433	-	309	0	0	0	0	0	0	0	0	0
ENSG00000290022	chr4	139841168	139841542	-	375	0	0	0	0	0	0	0	0	0
ENSG00000250698	chr4	140128015	140134565	+	6551	0	0	0	0	0	0	0	0	0
SCOC	chr4	140257286	140385728	+	128443	1733	1678	1705	1628	1677	1627	1718	1711	1812
SCOC-AS1	chr4	140283724	140373409	-	89686	8	9	13	8	8	12	8	7	17
NDUFB4P9	chr4	140314163	140314550	-	388	0	0	0	0	0	0	0	0	0
RPL14P3	chr4	140366240	140366861	-	622	0	0	0	0	0	0	0	0	0
CLGN	chr4	140388453	140427661	-	39209	193	186	171	149	170	145	171	213	169
MGAT4D	chr4	140442262	140498377	-	56116	0	0	0	1	0	0	0	0	0
ENSG00000280262	chr4	140498402	140501330	+	2929	0	0	0	0	0	0	0	0	0
ELMOD2	chr4	140524168	140553770	+	29603	1360	1281	1386	1127	1279	1288	1459	1260	1392
UCP1	chr4	140559431	140568961	-	9531	3	0	3	1	2	0	3	1	0
ENSG00000287449	chr4	140577845	140579657	+	1813	1	0	0	0	0	0	0	1	0
