# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/data/GRCh38.p13_reference_files/gencode.v43.primary_assembly.annotation.gtf" "-o" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/feature_counts/s2/new7122023_count_data.txt" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A2/T14-A2Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A3/T14-A3Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A4/T14-A4Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A3/T15A-A3Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A4/T15A-A4Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A7/T15A-A7Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A1/T16-A1Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A3/T16-A3Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A9/T16-A9Aligned.sortedByCoord.out.bam" "-F" "GTF" "--largestOverlap" "-p" "--countReadPairs" "-s" "2" "-B" "-C" "-T" "64" "-t" "gene" "-g" "gene_name" "--Rpath" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/feature_counts/" "--tmpDir" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/scripts/temp" "--verbose" 
Geneid	Chr	Start	End	Strand	Length	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A2/T14-A2Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A3/T14-A3Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A4/T14-A4Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A3/T15A-A3Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A4/T15A-A4Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A7/T15A-A7Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A1/T16-A1Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A3/T16-A3Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A9/T16-A9Aligned.sortedByCoord.out.bam
ENSG00000274642	chr1	120197085	120319680	+	122596	0	0	2	0	1	5	1	0	2
7SK	chr1;chr1;chr1;chr3;chr6;chr11;chr17	120228046;120670127;149290513;124792319;52995620;120365666;35889558	120228295;120670376;149290762;124792562;52995950;120365963;35889804	-;+;+;-;+;+;+	1870	0	0	0	0	0	0	0	0	0
ENSG00000290569	chr1	120267334	120341871	-	74538	41	31	66	47	50	52	52	44	67
ENSG00000223804	chr1	120340756	120341839	-	1084	0	0	0	0	0	0	0	0	0
U1	chr1;chr1;chr21;KI270713.1;KI270713.1;KI270750.1	120354987;121008362;9646825;21861;30437;148668	120355148;121008507;9647000;22024;30580;148843	+;-;+;-;-;+	968	10	1	4	7	3	2	7	3	3
NBPF8	chr1	120415035	120469676	+	54642	26	49	49	59	62	38	48	50	36
PFN1P2	chr1	120432204	120434052	-	1849	0	0	0	0	0	0	0	0	0
PDE4DIPP2	chr1	120489860	120701289	-	211430	12	29	19	20	21	10	38	20	36
ENSG00000290999	chr1	120519468	120548357	-	28890	0	0	0	0	0	0	0	0	0
U2	chr1;chr3;chr4;chr8;chr9;chr14;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr22;GL000216.2;GL000225.1	120571120;150241777;25250545;109873913;115734392;75270700;43239921;43241180;43245674;43251829;43266633;43271369;43273101;43277978;43284139;43290291;43296425;43300041;10736171;93197;183252	120571264;150241860;25250639;109874018;115734491;75270780;43240111;43241370;43245864;43252019;43266823;43271559;43273292;43278168;43284329;43290481;43296615;43300231;10736283;93309;183364	+;+;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+	3243	0	0	0	0	0	0	0	0	0
NOTCH2NLR	chr1	120723912	120794851	+	70940	2	1	0	2	0	0	0	0	1
NBPF26	chr1	120723949	120842110	+	118162	72	108	78	116	165	100	150	187	161
ENSG00000287979	chr1	120849674	120850985	-	1312	0	0	0	1	0	0	1	0	0
RNVU1-19	chr1	120850819	120850985	-	167	0	0	0	0	0	0	0	0	0
PPIAL4A	chr1	120889771	120890530	+	760	2	1	0	1	0	0	1	0	3
ENSG00000281741	chr1	120913151	120914238	-	1088	7	6	6	3	5	8	4	4	10
LINC00623	chr1	120913184	121009291	+	96108	349	365	594	304	343	405	327	362	442
RNVU1-4	chr1	120942600	120942763	+	164	0	0	0	0	0	0	0	0	0
ENSG00000290903	chr1	120963645	120973561	+	9917	0	0	0	0	0	0	0	0	0
ENSG00000285215	chr1	120964001	120977585	+	13585	0	0	0	0	0	0	0	0	0
PDE4DIPP4	chr1;chr1	120985692;121029592	121052167;121042572	-;-	66476	11	5	17	10	19	16	15	35	5
ENSG00000275296	chr1	121058948	121059353	-	406	0	0	0	0	0	0	0	0	0
FCGR1BP	chr1;chr1	121087298;121087395	121097161;121096152	+;+	9864	0	0	0	0	0	0	0	0	0
ENSG00000234998	chr1	121087528	121116676	-	29149	3	0	0	0	7	1	1	0	1
ENSG00000233029	chr1	121090289	121097655	-	7367	0	0	0	0	0	0	0	0	0
H2BP1	chr1;chr1	121107171;121116862	121117294;121117242	-;-	10124	21	34	17	14	21	21	27	7	14
ENSG00000227193	chr1	121118126	121146826	+	28701	3	1	0	4	4	3	1	0	0
H3P4	chr1	121118195	121118610	-	416	3	5	3	0	3	2	4	1	0
RPL22P6	chr1	121142051	121142438	-	388	1	0	0	0	0	0	0	0	0
FAM72B	chr1	121167646	121185539	-	17894	566	529	734	595	524	559	416	360	631
SRGAP2C	chr1	121184811	121392874	+	208064	397	323	645	373	351	376	242	283	357
ENSG00000275129	chr1	121314947	121315055	-	109	0	0	0	0	0	0	0	0	0
SRGAP2-AS1	chr1	121360156	121398806	-	38651	11	9	12	7	3	9	1	4	9
LINC02798	chr1	121396754	121463508	+	66755	17	22	18	11	24	18	31	22	33
ENSG00000228826	chr1	121494329	121511588	-	17260	1	0	0	0	0	0	1	1	0
MTIF2P1	chr1	121502344	121503891	+	1548	0	0	0	0	0	0	0	0	0
ENSG00000272583	chr1	121518365	121519601	-	1237	14	30	17	18	15	20	24	15	30
EMBP1	chr1;chr1	121519103;121519345	121575702;121568791	+;+	56600	104	96	137	91	98	93	131	131	92
LINC01691	chr1	121573946	121580524	-	6579	0	1	0	2	3	0	2	2	4
ENSG00000276118	chr1	143343180	143343275	+	96	0	0	0	0	0	0	0	0	0
ENSG00000277095	chr1	143354191	143386122	+	31932	0	0	0	0	0	0	0	0	0
ENSG00000277702	chr1	143419625	143420207	-	583	0	0	0	0	0	0	0	0	0
RNA5SP533	chr1	143439605	143439714	+	110	0	0	0	0	0	0	0	0	0
ENSG00000264145	chr1	143449571	143450245	-	675	0	0	0	0	0	0	0	0	0
KMT2CP3	chr1	143461221	143498767	-	37547	0	0	0	0	1	0	0	0	0
NKAIN1P1	chr1	143487772	143488353	+	582	0	0	0	0	0	0	0	0	0
ENSG00000223495	chr1	143498785	143499102	+	318	0	0	0	0	0	0	0	0	0
LINC02799	chr1	143499187	143500512	-	1326	0	0	0	0	0	0	0	0	0
ENSG00000203825	chr1	143541768	143572834	+	31067	0	0	0	0	0	0	0	0	0
NBPF17P	chr1	143595216	143635641	-	40426	0	0	0	0	0	0	1	0	0
PFN1P12	chr1	143619994	143620527	+	534	0	0	0	0	0	0	0	0	0
RNU1-114P	chr1	143652050	143652215	-	166	0	0	0	0	0	0	0	0	0
RNVU1-17	chr1	143699456	143699619	-	164	0	0	0	0	0	0	0	0	0
RNVU1-23	chr1	143720510	143720644	-	135	0	0	0	0	0	0	0	0	0
RNVU1-18	chr1	143729407	143729570	-	164	0	0	0	0	0	0	0	0	0
ENSG00000232721	chr1	143735983	143739506	+	3524	1	11	22	1	2	1	0	3	0
ENSG00000223779	chr1	143745249	143760669	+	15421	0	1	0	0	1	1	0	0	0
FAM91A3P	chr1	143766540	143769083	+	2544	0	0	0	1	1	0	0	0	0
ENSG00000270962	chr1	143784376	143784671	+	296	0	0	0	0	0	0	0	0	0
LINC02591	chr1	143790010	143797108	+	7099	0	0	0	1	1	0	0	0	1
RNU1-143P	chr1	143791542	143791687	-	146	0	0	0	0	0	0	0	0	0
PDE4DIPP3	chr1	143811359	143825837	-	14479	0	1	2	0	0	0	2	2	0
ENSG00000237503	chr1	143846097	143846504	-	408	0	0	0	0	0	0	0	0	0
FCGR1CP	chr1	143874793	143883575	+	8783	0	0	0	0	0	0	0	0	0
ENSG00000290735	chr1	143875171	143904650	-	29480	0	2	3	0	0	0	0	0	0
H3-7	chr1	143894544	143905977	-	11434	4	5	11	1	3	0	7	5	1
H2BP2	chr1	143904223	143904603	-	381	0	0	0	0	0	0	0	0	0
ENSG00000230186	chr1	143905487	143934776	+	29290	0	1	0	0	0	0	0	0	0
RPL22P5	chr1	143929994	143930382	-	389	0	0	0	0	0	0	0	0	0
FAM72C	chr1	143955287	143971986	-	16700	60	66	107	73	62	73	42	59	53
ENSG00000289318	chr1	143972669	143975076	+	2408	16	26	67	29	22	28	19	16	32
SRGAP2D	chr1	143975087	144068350	+	93264	32	23	52	27	21	17	27	17	30
IGKV1OR1-1	chr1	144085628	144086098	+	471	0	0	0	0	0	0	0	0	0
ENSG00000275075	chr1	144168752	144168850	+	99	0	0	0	0	0	0	0	0	0
ENSG00000275767	chr1	144179777	144211729	+	31953	0	0	0	0	0	0	0	0	0
LINC02802	chr1	144227029	144250326	-	23298	0	0	0	0	0	0	0	0	0
RNA5SP529	chr1	144265217	144265326	+	110	0	0	0	0	0	0	0	0	0
DRD5P2	chr1	144274892	144277993	-	3102	0	0	0	0	0	0	0	0	0
KMT2CP1	chr1;chr1	144276484;144661200	144302541;144679513	-;+	44372	0	0	0	0	0	0	0	0	0
KMT2CP2	chr1	144286847	144305180	-	18334	0	0	0	0	0	0	0	0	0
PPIAL4E	chr1	144372875	144373634	-	760	0	0	0	0	0	0	0	0	0
ENSG00000271439	chr1	144401069	144401355	-	287	0	0	0	0	0	0	0	0	0
RNVU1-15	chr1	144412576	144412740	+	165	0	1	0	0	0	0	0	0	1
ENSG00000237343	chr1	144418113	144419192	-	1080	0	0	0	0	0	0	0	0	1
ENSG00000233586	chr1	144418678	144419190	+	513	1	0	1	0	0	0	0	2	0
NBPF15	chr1	144421390	144461676	-	40287	135	120	361	162	185	182	108	151	149
PFN1P6	chr1	144442606	144443004	+	399	0	0	0	0	0	0	0	0	0
ENSG00000229002	chr1	144472535	144474790	-	2256	0	0	0	0	0	0	0	0	0
RNVU1-26	chr1	144523860	144524021	-	162	0	2	0	2	0	1	0	2	2
ENSG00000290121	chr1	144545892	144546786	-	895	1	6	1	1	0	2	2	1	0
RNVU1-2A	chr1	144551779	144551943	-	165	0	0	0	4	0	0	0	1	2
RNVU1-28	chr1	144560666	144560829	-	164	2	0	3	0	0	0	0	0	0
PPIAL4F	chr1	144592893	144593652	+	760	0	0	0	0	0	0	0	0	0
LINC01632	chr1	144627192	144642372	-	15181	0	0	0	0	0	0	0	0	0
ENSG00000224363	chr1	144641371	144919902	+	278532	2	9	11	6	2	4	4	3	12
RNA5SP59	chr1	144701050	144701159	-	110	0	0	0	0	0	0	0	0	0
LSP1P5	chr1;chr2	144716025;91587019	144758298;91660038	+;-	115294	4	2	1	9	3	6	4	0	9
ENSG00000273825	chr1	144754572	144786606	-	32035	0	0	0	0	0	0	0	0	0
ENSG00000287607	chr1	144797534	144797632	-	99	0	0	0	0	0	0	0	0	0
SRGAP2B	chr1	144887265	145095528	-	208264	226	250	465	272	205	205	189	171	242
ENSG00000271644	chr1	144965025	144965135	+	111	0	0	0	0	0	0	0	0	0
FAM72D	chr1	145095974	145112696	+	16723	221	214	337	226	195	228	144	166	233
ENSG00000283752	chr1	145139986	145148375	+	8390	0	0	2	0	0	0	0	1	0
LINC01145	chr1;chr1	145164099;145214677	145216058;145215726	-;-	51960	67	75	120	64	77	83	75	90	51
RNU1-153P	chr1	145169519	145169664	+	146	0	0	1	0	0	0	0	0	0
ENSG00000281571	chr1	145214851	145215938	+	1088	20	13	35	12	9	18	7	10	18
ENSG00000223612	chr1	145233001	145233519	+	519	0	2	3	1	3	1	2	3	2
PPIAL4D	chr1	145241415	145242174	-	760	0	0	0	0	0	0	0	0	0
ENSG00000271291	chr1	145269604	145269890	-	287	0	0	0	0	0	0	0	0	0
RNVU1-14	chr1	145281116	145281279	+	164	0	0	0	0	0	0	0	0	0
ENSG00000276216	chr1	145281116	145281462	+	347	0	0	2	1	0	2	1	2	1
ENSG00000236140	chr1	145286610	145287755	-	1146	0	0	2	0	1	0	0	1	1
NBPF20	chr1	145289900	145425603	-	135704	51	64	42	47	47	43	46	70	54
PFN1P3	chr1	145407772	145408173	+	402	0	0	0	0	0	0	0	0	0
RNU1-154P	chr1	145431527	145431693	-	167	0	0	0	0	0	0	0	0	0
ENSG00000286620	chr1	145459798	145462007	+	2210	0	1	1	0	2	0	0	0	3
RNVU1-31	chr1	145465617	145465780	-	164	3	3	0	0	0	1	1	3	1
ENSG00000287374	chr1	145475606	145480999	+	5394	1	0	1	0	0	0	0	0	0
ENSG00000278182	chr1	145507444	145508607	+	1164	0	0	0	0	0	0	0	0	0
PDE4DIPP5	chr1	145509047	145520594	+	11548	0	0	0	0	0	0	0	0	0
NBPF25P	chr1;chr1	145572345;145573965	145607858;145591060	-;-	35514	11	24	19	10	16	8	20	39	20
GPR89A	chr1	145607988	145670650	+	62663	185	187	194	214	211	233	246	267	279
PDZK1	chr1	145670852	145708148	-	37297	7	3	2	0	8	4	4	2	5
CD160	chr1	145719471	145739288	+	19818	0	0	0	1	0	1	1	0	1
RNF115	chr1	145738868	145824095	-	85228	986	1135	1019	907	1045	1082	1344	1379	1286
POLR3C	chr1	145824053	145844402	+	20350	860	1003	939	898	1043	1025	1388	1593	1584
NUDT17	chr1	145845630	145848954	+	3325	63	53	34	41	45	53	30	43	76
PIAS3	chr1	145848522	145859836	-	11315	1451	1414	1663	1269	1327	1312	1124	1124	1595
MIR6736	chr1	145850587	145850645	-	59	0	0	0	0	0	0	0	0	0
ANKRD35	chr1	145866560	145885866	-	19307	182	200	266	167	190	235	236	212	218
ITGA10	chr1	145891208	145910111	-	18904	10	11	3	3	7	8	8	9	3
ENSG00000244619	chr1	145892847	145893483	+	637	2	0	0	0	0	2	0	0	1
PEX11B	chr1	145911350	145918717	-	7368	278	293	297	242	248	321	255	248	290
ENSG00000289565	chr1	145917714	145926741	-	9028	28	18	16	15	48	30	53	81	28
GNRHR2	chr1	145919013	145925341	+	6329	82	59	69	72	65	63	72	65	80
RBM8A	chr1	145921556	145927678	-	6123	1641	1873	1693	1376	1712	1859	2411	2448	2471
LIX1L-AS1	chr1	145926590	145959179	+	32590	133	134	95	94	102	124	155	136	133
ENSG00000280778	chr1	145927258	145977811	+	50554	0	0	2	2	1	0	1	4	0
LIX1L	chr1	145933423	145958017	-	24595	117	111	31	152	164	131	70	95	59
ANKRD34A	chr1	145959441	145964575	-	5135	10	4	9	0	3	5	9	3	5
ENSG00000278431	chr1	145961388	145964422	+	3035	0	0	0	0	0	0	0	0	0
POLR3GL	chr1	145964690	145978848	+	14159	201	157	132	146	136	166	94	167	98
TXNIP	chr1	145992435	145996579	-	4145	1329	761	1077	237	284	1149	698	1032	270
HJV	chr1	146017468	146036746	-	19279	16	16	32	13	10	11	9	12	9
ENSG00000287190	chr1	146050441	146052244	-	1804	0	0	0	4	1	1	0	0	1
RNVU1-6	chr1	146052081	146052244	-	164	0	0	0	0	0	0	0	0	0
LINC01719	chr1	146052566	146061952	+	9387	205	186	187	215	169	259	160	152	192
NBPF10	chr1	146064711	146229000	-	164290	14	16	31	34	30	24	28	29	23
NOTCH2NLA	chr1	146146203	146229041	-	82839	8	3	4	10	4	5	3	3	6
ENSG00000276509	chr1	146235806	146237807	+	2002	0	0	0	0	0	0	0	0	0
RNU6-1071P	chr1	146288596	146288696	+	101	0	0	0	0	0	0	0	0	0
NUDT4P2	chr1	146298170	146298715	+	546	0	0	0	0	0	0	0	0	0
ENSG00000290578	chr1	146321214	146401647	-	80434	21	18	22	14	13	18	20	29	17
SEC22B4P	chr1	146321842	146328211	-	6370	0	0	0	0	0	0	0	0	0
PPIAL4H	chr1	146344006	146344765	-	760	0	0	0	0	0	0	0	0	0
RNVU1-29	chr1	146376807	146376970	+	164	0	0	0	0	0	0	0	0	0
ENSG00000287978	chr1	146387202	146388092	+	891	3	4	1	1	2	2	3	5	0
RNVU1-25	chr1	146409903	146410062	+	160	1	1	0	0	1	1	0	0	1
ENSG00000277655	chr1	146459449	146461859	+	2411	0	0	0	0	0	0	0	0	0
ENSG00000291242	chr1	146472566	146641639	+	169074	11	8	0	18	26	18	15	14	15
ENSG00000289321	chr1	146486650	146487965	+	1316	0	0	0	0	0	0	0	0	0
RNA5SP536	chr1	146539541	146539663	-	123	0	0	0	0	0	0	0	0	0
HYDIN2	chr1	146547367	146898974	+	351608	9	4	10	11	13	21	12	23	8
ENSG00000290557	chr1	146743160	146779280	+	36121	0	0	0	0	0	0	0	0	0
ENSG00000274450	chr1	146862729	146862845	-	117	0	0	0	0	0	0	0	0	0
ENSG00000291243	chr1	146898825	146914294	+	15470	0	0	0	0	0	0	0	0	0
NBPF12	chr1	146938324	146996202	+	57879	120	171	128	178	233	143	311	373	212
PFN1P8	chr1	146957117	146957659	-	543	0	0	0	0	0	0	0	0	0
ENSG00000234225	chr1	147001931	147003618	-	1688	0	0	0	0	0	0	0	0	0
ENSG00000227242	chr1	147019656	147056593	-	36938	3	1	4	3	1	0	2	6	1
ENSG00000225603	chr1	147050817	147052481	+	1665	0	1	0	0	0	1	0	0	1
RNU1-151P	chr1	147079746	147079870	+	125	0	0	0	0	0	0	0	0	0
SSBL4P	chr1	147082338	147083578	-	1241	0	5	0	3	7	0	0	1	3
RNVU1-8	chr1	147084616	147084756	-	141	0	0	1	0	0	0	0	1	0
NBPF13P	chr1	147099482	147124285	-	24804	0	0	0	0	0	0	0	0	0
PRKAB2	chr1	147155106	147172550	-	17445	1738	1765	2199	1803	1767	1876	1843	2019	2006
PDIA3P1	chr1	147172744	147179622	+	6879	0	2	0	1	1	1	0	0	0
ENSG00000237188	chr1	147172755	147295734	+	122980	58	48	66	51	74	72	28	47	59
FMO5	chr1	147175351	147243050	-	67700	25	29	69	16	24	34	33	37	32
CCT8P1	chr1	147203276	147204932	-	1657	0	0	0	0	0	0	0	0	0
RPL7AP15	chr1	147223554	147224348	+	795	0	0	0	0	0	0	0	0	0
CHD1L	chr1	147242654	147295765	+	53112	25	11	14	7	15	10	21	13	18
LINC00624	chr1	147258885	147517875	-	258991	50	94	76	79	69	71	84	88	86
ENSG00000213226	chr1	147319110	147320224	+	1115	0	0	0	0	0	0	0	0	0
OR13Z1P	chr1	147419053	147419900	+	848	0	0	0	0	0	0	0	0	0
OR13Z2P	chr1	147445579	147446133	+	555	0	0	1	0	0	0	0	0	0
OR13Z3P	chr1	147482238	147482628	+	391	0	0	0	0	0	0	0	0	0
BCL9	chr1	147541501	147626216	+	84716	3047	3067	2799	3269	3214	3422	3234	3159	3756
ENSG00000289419	chr1	147608331	147610187	+	1857	0	0	0	0	0	0	0	0	0
ENSG00000288626	chr1	147611590	147611796	+	207	0	0	0	0	0	0	0	0	0
ACP6	chr1	147629652	147670524	-	40873	398	422	388	372	378	459	280	339	363
RN7SL261P	chr1	147689256	147689537	+	282	0	0	0	0	0	0	0	0	0
ENSG00000227139	chr1	147697794	147699335	+	1542	0	0	0	0	0	0	0	0	0
GJA5	chr1	147756199	147773362	-	17164	50	36	18	43	76	114	32	40	37
ENSG00000274415	chr1	147757185	147758434	+	1250	1	1	0	0	0	1	0	1	2
ENSG00000234190	chr1	147777590	147788953	+	11364	0	0	0	1	0	0	0	0	0
ENSG00000223728	chr1	147840962	147842359	+	1398	0	0	0	0	0	0	0	0	0
GJA8	chr1	147902795	147909269	+	6475	0	0	0	0	0	0	0	0	0
GPR89B	chr1	147928393	147993592	+	65200	105	125	137	188	146	135	136	166	175
ENSG00000290705	chr1	147993862	148014956	-	21095	62	66	39	70	66	75	33	43	71
PDZK1P1	chr1	147994301	148009592	-	15292	0	0	0	0	0	0	0	0	0
ENSG00000273059	chr1	148011799	148012228	+	430	0	0	0	0	0	2	1	0	0
LINC02804	chr1	148013203	148025934	+	12732	19	22	5	34	38	17	26	40	29
RNU1-129P	chr1	148014417	148014583	-	167	0	0	0	0	0	0	0	0	0
RNVU1-7	chr1	148038753	148038916	-	164	0	1	0	1	2	0	1	0	2
PDE4DIPP1	chr1	148080598	148093883	+	13286	1	0	0	0	0	1	0	0	1
NBPF11	chr1	148102047	148152322	-	50276	207	161	237	250	348	218	320	335	255
PFN1P4	chr1	148129497	148129898	+	402	0	0	0	0	0	0	0	0	0
ABHD17AP1	chr1	148146395	148149566	+	3172	0	0	4	1	1	0	2	0	2
LINC02805	chr1	148156139	148186980	+	30842	11	8	8	1	2	14	13	8	10
ENSG00000227733	chr1	148159213	148255012	-	95800	82	127	84	87	92	139	84	74	124
RNA5SP57	chr1	148193716	148193838	+	123	0	0	0	0	0	0	0	0	0
ENSG00000224335	chr1	148234273	148234489	+	217	0	0	0	0	0	0	0	0	0
ENSG00000227700	chr1	148246169	148246685	+	517	0	0	0	0	0	0	0	0	0
RNVU1-22	chr1	148263476	148263632	+	157	0	0	3	0	1	0	0	0	0
LINC01731	chr1	148271884	148280749	-	8866	3	4	7	11	7	1	2	6	1
ENSG00000228626	chr1	148288001	148288951	-	951	0	0	0	0	0	0	0	2	0
LINC01138	chr1	148290889	148519604	-	228716	206	192	250	171	204	209	137	152	188
LINC02806	chr1	148295180	148297556	+	2377	0	0	0	0	0	0	0	0	0
ENSG00000224481	chr1	148295895	148344638	+	48744	19	16	10	11	16	6	5	8	8
ENSG00000235988	chr1	148317683	148318013	-	331	0	0	0	0	0	0	0	0	0
MIR5087	chr1	148334479	148334554	-	76	0	0	0	0	0	0	0	0	0
RNVU1-21	chr1	148334612	148334767	-	156	0	0	0	0	0	0	0	0	0
ENSG00000272824	chr1	148358245	148358686	-	442	0	0	0	0	0	0	0	0	0
RNVU1-1	chr1	148362370	148362533	-	164	0	0	0	0	0	0	0	0	0
RNU1-155P	chr1	148385829	148385963	-	135	0	0	0	0	0	0	0	0	0
MIR6077	chr1	148388282	148388363	+	82	0	0	0	0	0	0	0	0	0
RNVU1-2	chr1	148388490	148388651	-	162	0	0	0	0	0	0	0	0	0
ENSG00000291232	chr1	148402516	148432545	+	30030	5	9	3	6	10	7	4	1	2
RNVU1-3	chr1	148402715	148402875	+	161	0	0	0	0	0	0	0	0	0
PDE4DIPP6	chr1	148415258	148428847	+	13590	0	0	0	0	0	0	0	0	0
ENSG00000225871	chr1	148435105	148436926	+	1822	1	1	2	0	0	1	1	2	4
ENSG00000285062	chr1	148458643	148459689	-	1047	0	0	0	0	0	0	0	0	0
ENSG00000280649	chr1	148458814	148459871	+	1058	10	21	29	23	21	32	26	16	18
PPIAL4G	chr1	148482548	148483302	-	755	0	0	0	0	0	0	0	0	0
RNVU1-27	chr1	148522601	148522765	+	165	0	1	0	0	0	0	0	1	2
NBPF14	chr1	148531385	148679742	-	148358	21	22	28	34	43	39	41	34	34
NOTCH2NLB	chr1	148600285	148679746	-	79462	0	0	1	1	0	0	0	0	0
RNU6-1171P	chr1	148739379	148739479	+	101	0	0	0	0	0	0	0	0	0
NUDT4B	chr1	148748774	148752415	+	3642	0	1	0	1	0	0	0	0	0
SEC22B3P	chr1	148772640	148784594	-	11955	0	1	0	0	0	0	0	0	0
ENSG00000271546	chr1	148795797	148796325	+	529	0	0	0	0	0	0	0	0	0
PDE4DIP	chr1	148808140	149048286	+	240147	1020	1114	1274	1132	993	1119	1027	1003	1749
RN7SKP88	chr1	148839483	148839732	-	250	0	0	0	0	0	0	0	0	0
RNU2-38P	chr1	148939739	148939817	-	79	0	0	0	0	0	0	0	0	0
ENSG00000254913	chr1	149006309	149009527	-	3219	0	0	0	0	0	0	0	0	0
ENSG00000289642	chr1	149013782	149014961	+	1180	0	0	0	0	0	0	0	0	0
ENSG00000255148	chr1	149018671	149026269	-	7599	0	0	0	0	0	0	0	0	0
ENSG00000254539	chr1	149048576	149051273	+	2698	7	15	19	17	12	21	5	9	10
NBPF9	chr1	149052186	149103561	-	51376	133	125	199	146	126	128	132	137	180
ENSG00000274019	chr1	149111304	149121866	-	10563	0	0	0	0	0	0	0	0	0
RNVU1-24	chr1	149162783	149162944	-	162	0	0	0	0	0	0	0	0	0
ENSG00000274265	chr1	149175748	149259987	+	84240	198	196	284	258	254	272	158	187	267
ENSG00000289614	chr1	149176141	149176931	-	791	17	15	36	11	14	14	19	14	7
ENSG00000291233	chr1	149197555	149240841	-	43287	0	0	1	0	1	2	1	2	3
ENSG00000215861	chr1	149197992	149321732	-	123741	2	6	6	8	5	8	2	2	11
ENSG00000272755	chr1	149264252	149264816	+	565	0	2	2	0	2	0	2	2	2
SEC22B2P	chr1	149345661	149357612	+	11952	0	0	0	1	0	1	0	0	2
NOTCH2NLC	chr1	149390621	149471833	+	81213	0	0	1	1	0	0	0	0	0
ENSG00000286185	chr1	149390623	149556361	+	165739	2	1	10	6	5	3	4	10	12
NBPF19	chr1	149475045	149556361	+	81317	0	0	0	0	0	0	0	0	0
PPIAL4C	chr1	149583848	149584607	+	760	0	0	0	0	0	0	0	0	0
LINC00869	chr1;chr1	149606209;149655731	149705716;149669321	+;+	99508	113	153	207	150	140	169	124	113	180
ENSG00000284964	chr1	149607467	149608516	+	1050	0	0	0	0	0	0	0	0	0
ENSG00000275557	chr1	149607765	149612402	+	4638	0	0	0	0	0	0	0	0	0
RNVU1-30	chr1	149636766	149636929	+	164	0	0	0	0	0	0	0	0	0
FAM91A2P	chr1	149675205	149677740	+	2536	0	0	0	0	0	0	0	0	0
ENSG00000290790	chr1	149676851	149747818	-	70968	6	5	13	21	19	16	17	72	18
RNU1-68P	chr1	149700151	149700296	-	146	0	0	0	0	0	0	0	0	0
PDE4DIPP7	chr1	149720531	149734391	-	13861	0	0	0	0	0	0	0	0	0
ENSG00000226500	chr1	149754301	149754710	-	410	0	0	0	0	0	0	0	0	0
FCGR1A	chr1	149782671	149791675	+	9005	0	0	0	0	0	0	0	0	0
